name,income
Heidi Hudson,1090.3149974867906
Steven Kelly,946.9800840828007
Tammy Gilmore,890.822686488706
Sig. Toni Gianinazzi,1239.1471968200394
Sig.ra Alina Petrucci ,1002.9288966208243
Tiffany Jones,1013.9316199795963
Puccio Raimondi ,1013.5204370024455
Melissa Vezzali,1001.2406127238233
Rossana Caruso,1401.5456092918712
中島 くみ子,798.2386992926613
Gianfrancesco Fermi,927.6187909450571
江古田 裕樹,1072.8671443160922
伊藤 学,806.8118959662366
Kimberly Ramirez,1118.8517377538951
Piergiuseppe Nitto ,1298.6711897361608
Sig. Nanni Sagese,1180.1966125629833
Kimberly Hale,637.1155906896618
Gloria Saracino-Monicelli,1091.304167035993
Kenneth Hicks,979.3342954199077
宮沢 陽子,926.3541342739356
近藤 加奈,992.14822306193
山口 直樹,971.3210690269997
Roger Kemp,1303.3485733187758
Larry Ellison,1208.0624975203698
Mr. Daniel Dalton,1114.9911170318694
Melissa Ortiz,712.8172160985192
Teresa Gentileschi,784.206406182623
西之園 香織,960.0447266727176
Michela Montalti,848.4510110139905
田辺 くみ子,803.7501659975541
Aria Matteotti ,1020.8579186911356
Nancy Williamson,1010.902953003578
Gianfranco Sanguineti,926.0317565416344
木村 七夏,879.0173371447172
Luca Parri,963.0630125837656
Cassandra Aguirre,783.4410712509004
村山 直人,1120.890452537328
Meredith Adams,835.8397450420828
Dott. Francesca Fantoni,982.1999001036968
Katherine Morrow,856.0422125463616
Jennifer Sampson,1024.0853210948806
松本 さゆり,676.535019524081
Dott. Patrizia Boccioni ,885.4227883932151
井上 陽一,1115.4661483109526
Elizabeth Weiss,1246.027358277089
James Holland,651.0787973264985
山田 結衣,683.6765767109898
Juan Miller,1005.4376684900318
吉本 直樹,1283.4497478541516
佐々木 涼平,724.4218812337224
Isa Varano,871.5254325435193
Kimberly Jones,1208.2197517255695
Michelle Rogers,1127.043340422927
井上 明美,1111.5338740501918
Victoria Turrini ,795.2366995453103
Lucrezia Salvo,1043.998878036537
Sig.ra Luciana Berlusconi ,799.881745930856
井高 くみ子,944.2123571369755
中島 千代,1052.4673054409905
若松 浩,916.4100933545326
Casey Beck,1124.754113466024
大垣 結衣,1142.0411519788963
Ricardo Curtis,1236.522455530563
若松 さゆり,760.017345921644
Katherine Aguilar,791.039557289773
坂本 太一,556.3081592692181
吉本 裕樹,1171.1979445957081
Nancy Castillo,786.1014473474252
松本 健一,933.6849935436192
Rita Ajello,1215.2264514616004
Ernesto Legnante,1056.1645148090154
Virgilio Tozzo-Babati,1146.5355253246275
浜田 浩,853.1153871459674
Antonietta Tasca ,1144.5349412318692
原田 七夏,907.3801023475153
Liliana Salvemini,1250.1259457604147
Dott. Germana Bertoli ,927.8543063542871
Tina Hood,1111.4065455790917
Ennio Puccini,1001.5256279387634
加納 和也,1157.0092054717336
井上 英樹,1209.642468677963
西之園 里佳,1282.0308121845703
Nathan Hickman,939.8270482965352
Jill Lawson,1281.2237841855897
Raymond Roman,1118.2540490400263
Corey Martinez,833.9134281335471
Cameron Lucas,789.2066018875091
石田 美加子,1201.4146011897615
Berenice Scotti,1136.5984330150739
Laura Lanfranchi,783.6859073472084
小泉 零,956.0062966057151
Jake Miller,1301.0890608613558
Ricciotti Detti,818.4415528389429
Stella Pavone-Barcella,842.9633788727554
Daniel Frazier,794.553637366862
井上 舞,862.1280204828819
中津川 太郎,1059.6052293128046
Carmelo Ginese,1086.1156479904787
Sig.ra Evangelista Bova ,895.7574095280647
Gianna Romano,976.6573460500123
Dott. Nedda Trebbi ,707.4928450471637
Ashley Martinez,1128.3915660985485
宇野 幹,730.9552169369753
Sig. Bartolomeo Boccioni ,1375.7156674916139
小林 明美,943.388879153476
Phillip Wheeler,926.2691943808326
Joseph Wilson,1486.5433291409893
松本 千代,951.3457246728875
井上 くみ子,629.0777489753905
Sig. Ettore Alboni,963.7355466771354
Jennifer Cooper,1002.2702216322147
Gianluca Trebbi,1064.8448705448088
Sig. Lando Anguillara,878.5099436742715
桐山 京助,979.5734771566864
三宅 あすか,1165.8644103053557
伊藤 加奈,888.7673672463567
Rachael Delgado,907.9909859870803
Dott. Olga Siffredi,945.1018108196274
Dott. Guglielmo Alboni ,1054.1633373357038
Gianfranco Giannuzzi,836.5229772572071
井上 健一,1133.4001301611793
Billy Walls,1147.1639680063397
若松 裕美子,882.2734575471335
加藤 英樹,1159.4830543180055
Dana White,1566.2605831668286
Ernesto Pontecorvo,763.9298129633706
津田 治,595.6122088345057
Ignazio Agostinelli-Calgari,1003.9494177687434
Joseph Morton,741.1188556392399
Corrado Cesaroni-Baresi,731.321685464077
吉田 陽子,1024.5017379637045
Jill Santos,1348.0871454092085
中津川 太郎,700.9269975142664
佐々木 翔太,883.6359103852315
Melissa Nichols,1026.3351378755524
吉本 京助,1173.8281974537467
Eliana Trezzini ,952.0318577541012
Carla Blake,905.8257021011917
Alan Chen,1021.9962982149514
Dott. Federica Marangoni,913.0675301046831
津田 さゆり,871.2434764329222
Irma Argentero,460.84966152069376
加納 充,1144.099808388193
津田 あすか,743.9120787257275
Hugo Piovani-Antonini,1171.7975143916558
Brenda Gonzales,1035.9785463069632
Alessio Agazzi,713.601192489689
Hannah Wilson,838.1096598283801
西之園 幹,779.8083585450272
Catherine James,781.8154797872928
Sig. Sante Sermonti ,1039.5004275861488
中島 陽子,920.9099923793714
Sig. Tonino Piovani ,691.5345828525683
鈴木 幹,811.3553595212956
加藤 さゆり,873.2570162048429
Cristian Hill,988.0754510885344
Ronald Gardner,1314.4423252443055
Adriano Biagi ,964.0321251510554
Jody Smith,854.4185071600068
John French,805.385369302758
Brittany Dennis,1083.015948181363
Dott. Lodovico Fuseli,1012.2070098362921
渚 美加子,573.8366337424284
Maria Filippini ,981.4968789786282
Megan Lopez,948.3131092309487
浜田 さゆり,918.8534997200533
Ippazio Caracciolo,1202.6002427439198
Fiamma Asmundo,1021.6733733856519
Cory Johnson,1051.0224462750691
山本 治,1141.973196703692
Timothy Holt,876.1046070213114
Liana Mussolini,1014.0714472355512
Lucrezia Pucci,1084.724890307208
斉藤 桃子,563.5547732070975
Rebekah Mejia,997.8112013373869
Rosaria Cignaroli,1086.4586542320737
西之園 太一,1022.612594283723
Piero Cicala,710.0202033010426
Keith Bean,1266.1221009960486
Bradley Mcclure,1178.6780407058568
Shannon King,926.1632773292256
George Boyd,1171.2523978093848
Antonietta Endrizzi,689.1175969445821
Justin Rodriguez,1176.0786803796889
井上 晃,909.4201386864111
Megan Clark,920.2809988086431
佐藤 零,856.7088150782232
佐藤 里佳,1038.222326289897
青田 晃,888.6101105753708
Sherry Barnes,1099.640556157864
Cassandra Brown,738.3879701622175
Zaira Pedroni,1155.6454475504088
Sergio Kaufman,1196.3419133016155
Brent Day,481.0855092239408
Debra Miller,1033.180558429697
Charles Hopkins,1320.3414231399606
宮沢 裕美子,872.994807452606
山岸 美加子,852.5072808905203
喜嶋 浩,941.3762731265356
Matthew Smith MD,927.7327891916475
Dott. Veronica Vittadello ,947.1900808505509
工藤 健一,910.4014112458945
佐々木 健一,1065.0731338846817
山本 結衣,722.1783370084479
Ian Bryant,1439.4042974313534
Piermaria Fittipaldi-Balbo,1191.9439627729191
Brian Kelly,1341.743594426446
若松 裕美子,1207.916960672204
Harry Christian,1188.669988638962
Richard Velasquez,1080.6308228573275
Gemma Scotti,839.6293710659802
Michelle Davis,570.9802987897519
Richard Morgan,1098.4512327056361
中村 稔,1078.548172307344
青山 結衣,762.0089366678108
Gary Reed,1035.223425029703
Morena Zaguri,1214.4780308500215
Gastone Salandra,812.5429308700033
